,O*NET-SOC Code,Title,Element Name,Data Value
14,11-1011.00,Chief Executives,Food Production,1.14
40,11-1011.00,Chief Executives,Medicine and Dentistry,1.51
30,11-1011.00,Chief Executives,Chemistry,1.69
50,11-1011.00,Chief Executives,Fine Arts,1.7
32,11-1011.00,Chief Executives,Biology,1.74
22,11-1011.00,Chief Executives,Building and Construction,1.83
42,11-1011.00,Chief Executives,Therapy and Counseling,1.87
20,11-1011.00,Chief Executives,Design,1.91
28,11-1011.00,Chief Executives,Physics,2.01
24,11-1011.00,Chief Executives,Mechanical,2.1
52,11-1011.00,Chief Executives,History and Archeology,2.16
48,11-1011.00,Chief Executives,Foreign Language,2.26
64,11-1011.00,Chief Executives,Transportation,2.26
54,11-1011.00,Chief Executives,Philosophy and Theology,2.35
2,11-1011.00,Chief Executives,Administrative,2.42
60,11-1011.00,Chief Executives,Telecommunications,2.59
38,11-1011.00,Chief Executives,Geography,2.69
12,11-1011.00,Chief Executives,Production and Processing,2.71
36,11-1011.00,Chief Executives,Sociology and Anthropology,2.88
62,11-1011.00,Chief Executives,Communications and Media,3.02
18,11-1011.00,Chief Executives,Engineering and Technology,3.05
34,11-1011.00,Chief Executives,Psychology,3.09
58,11-1011.00,Chief Executives,Law and Government,3.48
44,11-1011.00,Chief Executives,Education and Training,3.52
26,11-1011.00,Chief Executives,Mathematics,3.6
6,11-1011.00,Chief Executives,Sales and Marketing,3.81
16,11-1011.00,Chief Executives,Computers and Electronics,3.82
56,11-1011.00,Chief Executives,Public Safety and Security,3.88
4,11-1011.00,Chief Executives,Economics and Accounting,4.04
8,11-1011.00,Chief Executives,Customer and Personal Service,4.39
46,11-1011.00,Chief Executives,English Language,4.41
10,11-1011.00,Chief Executives,Personnel and Human Resources,4.48
0,11-1011.00,Chief Executives,Administration and Management,4.78
106,11-1011.03,Chief Sustainability Officers,Medicine and Dentistry,1.31
116,11-1011.03,Chief Sustainability Officers,Fine Arts,1.63
108,11-1011.03,Chief Sustainability Officers,Therapy and Counseling,1.81
114,11-1011.03,Chief Sustainability Officers,Foreign Language,1.85
126,11-1011.03,Chief Sustainability Officers,Telecommunications,1.89
80,11-1011.03,Chief Sustainability Officers,Food Production,2.07
120,11-1011.03,Chief Sustainability Officers,Philosophy and Theology,2.11
78,11-1011.03,Chief Sustainability Officers,Production and Processing,2.19
94,11-1011.03,Chief Sustainability Officers,Physics,2.3
118,11-1011.03,Chief Sustainability Officers,History and Archeology,2.31
96,11-1011.03,Chief Sustainability Officers,Chemistry,2.37
90,11-1011.03,Chief Sustainability Officers,Mechanical,2.44
122,11-1011.03,Chief Sustainability Officers,Public Safety and Security,2.56
68,11-1011.03,Chief Sustainability Officers,Administrative,2.62
98,11-1011.03,Chief Sustainability Officers,Biology,2.81
86,11-1011.03,Chief Sustainability Officers,Design,2.85
82,11-1011.03,Chief Sustainability Officers,Computers and Electronics,2.93
100,11-1011.03,Chief Sustainability Officers,Psychology,2.93
84,11-1011.03,Chief Sustainability Officers,Engineering and Technology,2.96
76,11-1011.03,Chief Sustainability Officers,Personnel and Human Resources,3.0
92,11-1011.03,Chief Sustainability Officers,Mathematics,3.0
102,11-1011.03,Chief Sustainability Officers,Sociology and Anthropology,3.0
104,11-1011.03,Chief Sustainability Officers,Geography,3.07
130,11-1011.03,Chief Sustainability Officers,Transportation,3.11
72,11-1011.03,Chief Sustainability Officers,Sales and Marketing,3.15
70,11-1011.03,Chief Sustainability Officers,Economics and Accounting,3.19
74,11-1011.03,Chief Sustainability Officers,Customer and Personal Service,3.41
110,11-1011.03,Chief Sustainability Officers,Education and Training,3.41
88,11-1011.03,Chief Sustainability Officers,Building and Construction,3.48
128,11-1011.03,Chief Sustainability Officers,Communications and Media,3.56
124,11-1011.03,Chief Sustainability Officers,Law and Government,3.69
66,11-1011.03,Chief Sustainability Officers,Administration and Management,4.15
112,11-1011.03,Chief Sustainability Officers,English Language,4.3
172,11-1021.00,General and Operations Managers,Medicine and Dentistry,1.2
164,11-1021.00,General and Operations Managers,Biology,1.21
186,11-1021.00,General and Operations Managers,Philosophy and Theology,1.23
182,11-1021.00,General and Operations Managers,Fine Arts,1.28
146,11-1021.00,General and Operations Managers,Food Production,1.32
184,11-1021.00,General and Operations Managers,History and Archeology,1.35
180,11-1021.00,General and Operations Managers,Foreign Language,1.4
170,11-1021.00,General and Operations Managers,Geography,1.46
174,11-1021.00,General and Operations Managers,Therapy and Counseling,1.6
192,11-1021.00,General and Operations Managers,Telecommunications,1.85
162,11-1021.00,General and Operations Managers,Chemistry,1.91
168,11-1021.00,General and Operations Managers,Sociology and Anthropology,1.93
160,11-1021.00,General and Operations Managers,Physics,1.98
154,11-1021.00,General and Operations Managers,Building and Construction,2.2
196,11-1021.00,General and Operations Managers,Transportation,2.21
152,11-1021.00,General and Operations Managers,Design,2.32
194,11-1021.00,General and Operations Managers,Communications and Media,2.39
166,11-1021.00,General and Operations Managers,Psychology,2.53
190,11-1021.00,General and Operations Managers,Law and Government,2.56
148,11-1021.00,General and Operations Managers,Computers and Electronics,2.67
188,11-1021.00,General and Operations Managers,Public Safety and Security,2.74
176,11-1021.00,General and Operations Managers,Education and Training,2.79
156,11-1021.00,General and Operations Managers,Mechanical,2.85
150,11-1021.00,General and Operations Managers,Engineering and Technology,2.9
138,11-1021.00,General and Operations Managers,Sales and Marketing,2.99
136,11-1021.00,General and Operations Managers,Economics and Accounting,3.2
134,11-1021.00,General and Operations Managers,Administrative,3.21
142,11-1021.00,General and Operations Managers,Personnel and Human Resources,3.44
158,11-1021.00,General and Operations Managers,Mathematics,3.53
144,11-1021.00,General and Operations Managers,Production and Processing,3.57
178,11-1021.00,General and Operations Managers,English Language,3.7
140,11-1021.00,General and Operations Managers,Customer and Personal Service,4.15
132,11-1021.00,General and Operations Managers,Administration and Management,4.25
212,11-2011.00,Advertising and Promotions Managers,Food Production,1.04
228,11-2011.00,Advertising and Promotions Managers,Chemistry,1.22
230,11-2011.00,Advertising and Promotions Managers,Biology,1.23
226,11-2011.00,Advertising and Promotions Managers,Physics,1.34
222,11-2011.00,Advertising and Promotions Managers,Mechanical,1.41
238,11-2011.00,Advertising and Promotions Managers,Medicine and Dentistry,1.42
220,11-2011.00,Advertising and Promotions Managers,Building and Construction,1.44
246,11-2011.00,Advertising and Promotions Managers,Foreign Language,1.58
250,11-2011.00,Advertising and Promotions Managers,History and Archeology,1.67
240,11-2011.00,Advertising and Promotions Managers,Therapy and Counseling,1.75
252,11-2011.00,Advertising and Promotions Managers,Philosophy and Theology,1.89
216,11-2011.00,Advertising and Promotions Managers,Engineering and Technology,1.91
262,11-2011.00,Advertising and Promotions Managers,Transportation,1.95
236,11-2011.00,Advertising and Promotions Managers,Geography,1.99
256,11-2011.00,Advertising and Promotions Managers,Law and Government,2.23
248,11-2011.00,Advertising and Promotions Managers,Fine Arts,2.35
258,11-2011.00,Advertising and Promotions Managers,Telecommunications,2.4
254,11-2011.00,Advertising and Promotions Managers,Public Safety and Security,2.47
234,11-2011.00,Advertising and Promotions Managers,Sociology and Anthropology,2.5
210,11-2011.00,Advertising and Promotions Managers,Production and Processing,2.58
208,11-2011.00,Advertising and Promotions Managers,Personnel and Human Resources,2.6
218,11-2011.00,Advertising and Promotions Managers,Design,2.79
232,11-2011.00,Advertising and Promotions Managers,Psychology,2.87
242,11-2011.00,Advertising and Promotions Managers,Education and Training,2.94
202,11-2011.00,Advertising and Promotions Managers,Economics and Accounting,3.04
224,11-2011.00,Advertising and Promotions Managers,Mathematics,3.16
200,11-2011.00,Advertising and Promotions Managers,Administrative,3.25
214,11-2011.00,Advertising and Promotions Managers,Computers and Electronics,3.31
198,11-2011.00,Advertising and Promotions Managers,Administration and Management,4.12
206,11-2011.00,Advertising and Promotions Managers,Customer and Personal Service,4.16
260,11-2011.00,Advertising and Promotions Managers,Communications and Media,4.35
244,11-2011.00,Advertising and Promotions Managers,English Language,4.41
204,11-2011.00,Advertising and Promotions Managers,Sales and Marketing,4.68
296,11-2021.00,Marketing Managers,Biology,1.1
278,11-2021.00,Marketing Managers,Food Production,1.12
292,11-2021.00,Marketing Managers,Physics,1.18
286,11-2021.00,Marketing Managers,Building and Construction,1.19
294,11-2021.00,Marketing Managers,Chemistry,1.21
304,11-2021.00,Marketing Managers,Medicine and Dentistry,1.26
288,11-2021.00,Marketing Managers,Mechanical,1.33
306,11-2021.00,Marketing Managers,Therapy and Counseling,1.63
312,11-2021.00,Marketing Managers,Foreign Language,1.64
318,11-2021.00,Marketing Managers,Philosophy and Theology,1.64
316,11-2021.00,Marketing Managers,History and Archeology,1.68
328,11-2021.00,Marketing Managers,Transportation,1.68
314,11-2021.00,Marketing Managers,Fine Arts,1.7
300,11-2021.00,Marketing Managers,Sociology and Anthropology,2.03
302,11-2021.00,Marketing Managers,Geography,2.2
298,11-2021.00,Marketing Managers,Psychology,2.45
276,11-2021.00,Marketing Managers,Production and Processing,2.46
320,11-2021.00,Marketing Managers,Public Safety and Security,2.5
274,11-2021.00,Marketing Managers,Personnel and Human Resources,2.71
282,11-2021.00,Marketing Managers,Engineering and Technology,2.77
322,11-2021.00,Marketing Managers,Law and Government,2.86
324,11-2021.00,Marketing Managers,Telecommunications,2.86
266,11-2021.00,Marketing Managers,Administrative,3.01
308,11-2021.00,Marketing Managers,Education and Training,3.03
268,11-2021.00,Marketing Managers,Economics and Accounting,3.1
284,11-2021.00,Marketing Managers,Design,3.15
280,11-2021.00,Marketing Managers,Computers and Electronics,3.51
290,11-2021.00,Marketing Managers,Mathematics,3.51
326,11-2021.00,Marketing Managers,Communications and Media,3.8
272,11-2021.00,Marketing Managers,Customer and Personal Service,3.85
264,11-2021.00,Marketing Managers,Administration and Management,4.04
310,11-2021.00,Marketing Managers,English Language,4.48
270,11-2021.00,Marketing Managers,Sales and Marketing,4.85
358,11-2022.00,Sales Managers,Physics,1.1
370,11-2022.00,Sales Managers,Medicine and Dentistry,1.1
344,11-2022.00,Sales Managers,Food Production,1.15
360,11-2022.00,Sales Managers,Chemistry,1.15
362,11-2022.00,Sales Managers,Biology,1.15
380,11-2022.00,Sales Managers,Fine Arts,1.15
382,11-2022.00,Sales Managers,History and Archeology,1.2
352,11-2022.00,Sales Managers,Building and Construction,1.25
384,11-2022.00,Sales Managers,Philosophy and Theology,1.25
354,11-2022.00,Sales Managers,Mechanical,1.45
372,11-2022.00,Sales Managers,Therapy and Counseling,1.45
378,11-2022.00,Sales Managers,Foreign Language,1.6
350,11-2022.00,Sales Managers,Design,1.65
368,11-2022.00,Sales Managers,Geography,1.75
386,11-2022.00,Sales Managers,Public Safety and Security,1.9
394,11-2022.00,Sales Managers,Transportation,1.95
366,11-2022.00,Sales Managers,Sociology and Anthropology,2.05
390,11-2022.00,Sales Managers,Telecommunications,2.05
342,11-2022.00,Sales Managers,Production and Processing,2.1
348,11-2022.00,Sales Managers,Engineering and Technology,2.16
388,11-2022.00,Sales Managers,Law and Government,2.25
332,11-2022.00,Sales Managers,Administrative,2.5
364,11-2022.00,Sales Managers,Psychology,2.75
356,11-2022.00,Sales Managers,Mathematics,2.85
334,11-2022.00,Sales Managers,Economics and Accounting,3.0
392,11-2022.00,Sales Managers,Communications and Media,3.0
346,11-2022.00,Sales Managers,Computers and Electronics,3.2
374,11-2022.00,Sales Managers,Education and Training,3.2
340,11-2022.00,Sales Managers,Personnel and Human Resources,3.35
330,11-2022.00,Sales Managers,Administration and Management,4.05
376,11-2022.00,Sales Managers,English Language,4.11
338,11-2022.00,Sales Managers,Customer and Personal Service,4.35
336,11-2022.00,Sales Managers,Sales and Marketing,4.8
426,11-2033.00,Fundraising Managers,Chemistry,1.09
428,11-2033.00,Fundraising Managers,Biology,1.09
436,11-2033.00,Fundraising Managers,Medicine and Dentistry,1.09
410,11-2033.00,Fundraising Managers,Food Production,1.1
420,11-2033.00,Fundraising Managers,Mechanical,1.11
424,11-2033.00,Fundraising Managers,Physics,1.11
418,11-2033.00,Fundraising Managers,Building and Construction,1.15
414,11-2033.00,Fundraising Managers,Engineering and Technology,1.23
460,11-2033.00,Fundraising Managers,Transportation,1.34
434,11-2033.00,Fundraising Managers,Geography,1.35
438,11-2033.00,Fundraising Managers,Therapy and Counseling,1.37
452,11-2033.00,Fundraising Managers,Public Safety and Security,1.63
416,11-2033.00,Fundraising Managers,Design,1.69
456,11-2033.00,Fundraising Managers,Telecommunications,1.71
444,11-2033.00,Fundraising Managers,Foreign Language,1.74
408,11-2033.00,Fundraising Managers,Production and Processing,1.86
446,11-2033.00,Fundraising Managers,Fine Arts,1.98
448,11-2033.00,Fundraising Managers,History and Archeology,2.04
450,11-2033.00,Fundraising Managers,Philosophy and Theology,2.08
454,11-2033.00,Fundraising Managers,Law and Government,2.33
412,11-2033.00,Fundraising Managers,Computers and Electronics,2.37
432,11-2033.00,Fundraising Managers,Sociology and Anthropology,2.41
440,11-2033.00,Fundraising Managers,Education and Training,2.49
430,11-2033.00,Fundraising Managers,Psychology,2.51
422,11-2033.00,Fundraising Managers,Mathematics,3.06
406,11-2033.00,Fundraising Managers,Personnel and Human Resources,3.27
458,11-2033.00,Fundraising Managers,Communications and Media,3.43
400,11-2033.00,Fundraising Managers,Economics and Accounting,3.46
402,11-2033.00,Fundraising Managers,Sales and Marketing,3.81
442,11-2033.00,Fundraising Managers,English Language,4.12
398,11-2033.00,Fundraising Managers,Administrative,4.15
404,11-2033.00,Fundraising Managers,Customer and Personal Service,4.24
396,11-2033.00,Fundraising Managers,Administration and Management,4.28
512,11-3012.00,Administrative Services Managers,Fine Arts,1.13
476,11-3012.00,Administrative Services Managers,Food Production,1.27
494,11-3012.00,Administrative Services Managers,Biology,1.37
510,11-3012.00,Administrative Services Managers,Foreign Language,1.37
514,11-3012.00,Administrative Services Managers,History and Archeology,1.42
516,11-3012.00,Administrative Services Managers,Philosophy and Theology,1.49
500,11-3012.00,Administrative Services Managers,Geography,1.51
492,11-3012.00,Administrative Services Managers,Chemistry,1.52
490,11-3012.00,Administrative Services Managers,Physics,1.6
504,11-3012.00,Administrative Services Managers,Therapy and Counseling,1.74
498,11-3012.00,Administrative Services Managers,Sociology and Anthropology,1.76
502,11-3012.00,Administrative Services Managers,Medicine and Dentistry,1.78
526,11-3012.00,Administrative Services Managers,Transportation,1.94
468,11-3012.00,Administrative Services Managers,Sales and Marketing,1.95
480,11-3012.00,Administrative Services Managers,Engineering and Technology,2.06
496,11-3012.00,Administrative Services Managers,Psychology,2.07
482,11-3012.00,Administrative Services Managers,Design,2.1
484,11-3012.00,Administrative Services Managers,Building and Construction,2.29
486,11-3012.00,Administrative Services Managers,Mechanical,2.33
524,11-3012.00,Administrative Services Managers,Communications and Media,2.4
522,11-3012.00,Administrative Services Managers,Telecommunications,2.63
506,11-3012.00,Administrative Services Managers,Education and Training,2.84
520,11-3012.00,Administrative Services Managers,Law and Government,2.88
474,11-3012.00,Administrative Services Managers,Production and Processing,2.89
466,11-3012.00,Administrative Services Managers,Economics and Accounting,2.92
488,11-3012.00,Administrative Services Managers,Mathematics,3.26
518,11-3012.00,Administrative Services Managers,Public Safety and Security,3.29
472,11-3012.00,Administrative Services Managers,Personnel and Human Resources,3.35
478,11-3012.00,Administrative Services Managers,Computers and Electronics,3.35
464,11-3012.00,Administrative Services Managers,Administrative,3.9
508,11-3012.00,Administrative Services Managers,English Language,4.03
462,11-3012.00,Administrative Services Managers,Administration and Management,4.24
470,11-3012.00,Administrative Services Managers,Customer and Personal Service,4.44
578,11-3013.00,Facilities Managers,Fine Arts,1.26
580,11-3013.00,Facilities Managers,History and Archeology,1.44
542,11-3013.00,Facilities Managers,Food Production,1.52
582,11-3013.00,Facilities Managers,Philosophy and Theology,1.68
576,11-3013.00,Facilities Managers,Foreign Language,1.74
568,11-3013.00,Facilities Managers,Medicine and Dentistry,1.98
560,11-3013.00,Facilities Managers,Biology,2.11
534,11-3013.00,Facilities Managers,Sales and Marketing,2.22
566,11-3013.00,Facilities Managers,Geography,2.28
548,11-3013.00,Facilities Managers,Design,2.39
564,11-3013.00,Facilities Managers,Sociology and Anthropology,2.46
556,11-3013.00,Facilities Managers,Physics,2.47
590,11-3013.00,Facilities Managers,Communications and Media,2.63
540,11-3013.00,Facilities Managers,Production and Processing,2.64
570,11-3013.00,Facilities Managers,Therapy and Counseling,2.67
586,11-3013.00,Facilities Managers,Law and Government,2.75
588,11-3013.00,Facilities Managers,Telecommunications,2.75
