,O*NET-SOC Code,Title,Example,Hot Technology,In Demand
0,11-1011.00,Chief Executives,Adobe Acrobat,Y,N
1,11-1011.00,Chief Executives,AdSense Tracker,N,N
2,11-1011.00,Chief Executives,Atlassian JIRA,Y,N
3,11-1011.00,Chief Executives,Blackbaud The Raiser's Edge,N,N
4,11-1011.00,Chief Executives,ComputerEase construction accounting software,N,N
5,11-1011.00,Chief Executives,Database reporting software,N,N
6,11-1011.00,Chief Executives,Databox,N,N
7,11-1011.00,Chief Executives,Email software,N,N
8,11-1011.00,Chief Executives,Enterprise resource planning ERP software,N,N
9,11-1011.00,Chief Executives,Exact Software Macola ES Labor Performance,N,N
10,11-1011.00,Chief Executives,Extensible markup language XML,Y,N
11,11-1011.00,Chief Executives,Fund accounting software,N,N
12,11-1011.00,Chief Executives,Graphic presentation software,N,N
13,11-1011.00,Chief Executives,Halogen e360,N,N
14,11-1011.00,Chief Executives,Halogen ePraisal,N,N
15,11-1011.00,Chief Executives,HCSS HeavyBid,N,N
16,11-1011.00,Chief Executives,HCSS HeavyJob,N,N
17,11-1011.00,Chief Executives,Human resource information system (HRIS),N,N
18,11-1011.00,Chief Executives,Infor SSA Human Capital Management,N,N
19,11-1011.00,Chief Executives,Intuit QuickBooks,Y,N
20,11-1011.00,Chief Executives,Listserv software,N,N
21,11-1011.00,Chief Executives,Lyris HQ Web-Analytics Solution,N,N
22,11-1011.00,Chief Executives,Mentimeter,N,N
23,11-1011.00,Chief Executives,Microsoft Access,Y,N
24,11-1011.00,Chief Executives,Microsoft Dynamics,N,N
25,11-1011.00,Chief Executives,Microsoft Dynamics AX,N,N
26,11-1011.00,Chief Executives,Microsoft Dynamics GP,N,N
27,11-1011.00,Chief Executives,Microsoft Excel,Y,Y
28,11-1011.00,Chief Executives,Microsoft FRx,N,N
29,11-1011.00,Chief Executives,Microsoft Office software,Y,Y
30,11-1011.00,Chief Executives,Microsoft Outlook,Y,Y
31,11-1011.00,Chief Executives,Microsoft PowerPoint,Y,Y
32,11-1011.00,Chief Executives,Microsoft Project,Y,N
33,11-1011.00,Chief Executives,Microsoft Publisher,N,N
34,11-1011.00,Chief Executives,Microsoft SharePoint,Y,N
35,11-1011.00,Chief Executives,Microsoft Word,Y,N
36,11-1011.00,Chief Executives,Nedstat Sitestat,N,N
37,11-1011.00,Chief Executives,Norchard Solutions Succession Wizard,N,N
38,11-1011.00,Chief Executives,Online advertising reporting software,N,N
39,11-1011.00,Chief Executives,Oracle E-Business Suite,N,N
40,11-1011.00,Chief Executives,Oracle PeopleSoft,Y,N
41,11-1011.00,Chief Executives,Oracle Siebel Server Sync,N,N
42,11-1011.00,Chief Executives,PHP,Y,N
43,11-1011.00,Chief Executives,Relational database management software,N,N
